Milestone,Backlog Story Item,Task,Status,Points,Hours Spent,Notes,,Point Multiplier,Predicted Time,Time Left,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,0.0,0.00,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
,,,Empty,,,,,,,,
